"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"pcg_164200","Avances reçues et comptes courants des associés bloqués","164200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_164400","Avances conditionnées de l'Etat et organismes internationaux","164400","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_165000","Emprunts non assorties de sûretés (à subdiviser selon l'ordre des comptes des emprunts)","165000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_166100","Dettes rattachées à des participations (groupe)","166100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_166200","Dettes rattachées à des participations (hors groupe)","166200","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_166300","Dettes rattachées à des sociétés en participation","166300","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_167000","Dépôts et cautionnements reçus","167000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_168100","Autres emprunts","168100","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_168500","Crédit fournisseurs d'immobilisations","168500","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_168800","Autres dettes non courantes","168800","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_171000","Comptes des liaison des établissements","171000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_176000","Biens et prestations de services échangés entre établissements (charges)","176000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_177000","Biens et prestations de services échangés entre établissements (produits)","177000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_185000","Écarts de conversion","185000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_188000","Autres","188000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_211000","Investissements de recherche et de développement","211000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_212000","Concessions de marques, brevets, licences, marques, procédés et valeurs similaires","212000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_213000","Logiciels","213000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_214000","Fonds commercial","214000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_216000","Droit au bail","216000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_218000","Autres immobilisations incorporelles","218000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_221300","Terrains nus","221300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_221400","Terrains aménagés","221400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_221500","Terrains bâtis","221500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_221600","Agencements et aménagements des terrains","221600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_222100","Bâtiments","222100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_222500","Installations générales, agencements et aménagements des constructions","222500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_222600","Ouvrages d'infrastructure","222600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_222700","Constructions sur sol d'autrui","222700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_223100","Installations techniques","223100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_223400","Matériel industriel","223400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_223500","Outillage industriel","223500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_223700","Agencements et aménagements du matériel et outillage industriels","223700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_224100","Matériel de transport de biens","224100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_224400","Matériel de transport de personnes","224400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_228100","Installations générales, agencements et aménagements divers","228100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_228200","Équipement de bureau","228200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_228600","Emballages récupérables identifiables","228600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_231000","Immobilisations incorporelles en cours","231000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
"pcg_232000","Immobilisations corporelles en cours","232000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template",,"False"
